slug,type,state,primary_keyword,title,h1,word_count,faq_count,in_wave_states,in_wave_top200
frederick,city,Maryland,send flowers to Frederick,"Send Flowers, Cakes & Gifts to Frederick, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Frederick, MD",124,3,False,True
rockville,city,Maryland,send flowers to Rockville,"Send Flowers, Cakes & Gifts to Rockville, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Rockville, MD",138,3,False,True
gaithersburg,city,Maryland,send flowers to Gaithersburg,"Send Flowers, Cakes & Gifts to Gaithersburg, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Gaithersburg, MD",132,3,False,True
bethesda,city,Maryland,send flowers to Bethesda,"Send Flowers, Cakes & Gifts to Bethesda, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Bethesda, MD",132,3,False,True
annapolis,city,Maryland,send flowers to Annapolis,"Send Flowers, Cakes & Gifts to Annapolis, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Annapolis, MD",125,3,False,True
bowie,city,Maryland,send flowers to Bowie,"Send Flowers, Cakes & Gifts to Bowie, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Bowie, MD",128,3,False,True
towson,city,Maryland,send flowers to Towson,"Send Flowers, Cakes & Gifts to Towson, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Towson, MD",127,3,False,True
ellicott-city,city,Maryland,send flowers to Ellicott City,"Send Flowers, Cakes & Gifts to Ellicott City, MD | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Ellicott City, MD",144,3,False,False
boston,city,Massachusetts,send flowers to Boston,"Send Flowers, Cakes & Gifts to Boston, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Boston, MA",131,3,False,True
worcester,city,Massachusetts,send flowers to Worcester,"Send Flowers, Cakes & Gifts to Worcester, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Worcester, MA",129,3,False,True
springfield-ma,city,Massachusetts,send flowers to Springfield,"Send Flowers, Cakes & Gifts to Springfield, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Springfield, MA",126,3,False,False
cambridge,city,Massachusetts,send flowers to Cambridge,"Send Flowers, Cakes & Gifts to Cambridge, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Cambridge, MA",126,3,False,True
lowell,city,Massachusetts,send flowers to Lowell,"Send Flowers, Cakes & Gifts to Lowell, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lowell, MA",124,3,False,True
brockton,city,Massachusetts,send flowers to Brockton,"Send Flowers, Cakes & Gifts to Brockton, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Brockton, MA",137,3,False,True
quincy,city,Massachusetts,send flowers to Quincy,"Send Flowers, Cakes & Gifts to Quincy, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Quincy, MA",131,3,False,True
lynn,city,Massachusetts,send flowers to Lynn,"Send Flowers, Cakes & Gifts to Lynn, MA | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Lynn, MA",129,3,False,True
